product_id,name,category,subcategory,brand,price_eur,stock,rating,reviews_count,recipient,occasion,tags,color,material,gift_wrap,shipping_days,description
KD-004,Espresso Moka Pot 3-cup,Kitchen & Dining,Coffee,Fumo,46.00,38,4.4,276,anyone,housewarming|thank-you,coffee|moka|stovetop|classic,Silver,Aluminium,yes,2,The Italian classic in the size that fits two mugs. Induction-compatible base.
KD-005,Pour-Over Set,Kitchen & Dining,Coffee,Fumo,78.00,21,4.6,183,him,birthday|christmas,coffee|pourover|glass|filter,Clear,"Borosilicate glass, wood",yes,3,"Carafe, dripper, wooden collar and fifty filters. For the person who has opinions about water temperature."
KD-006,"Burr Coffee Grinder, Manual",Kitchen & Dining,Coffee,Fumo,115.00,12,4.7,241,anyone,christmas|birthday,coffee|grinder|manual|steel,Black,Stainless steel,yes,3,"Stepped adjustment from espresso to French press. Quiet, which the electric ones are not."
KD-007,Cold Brew Carafe,Kitchen & Dining,Coffee,Fumo,52.00,0,4.1,74,anyone,birthday,coffee|coldbrew|summer|glass,Clear,"Glass, steel mesh",yes,3,"One litre overnight in the fridge. Fine mesh, no grit."
KD-008,"Cocktail Kit, Ten-Piece",Kitchen & Dining,Bar,Vesper & Co,129.00,13,4.5,158,him,birthday|christmas|anniversary,cocktail|bar|set|gift,Gunmetal,Stainless steel,yes,4,"Shaker, jigger, strainer, muddler, spoon, tongs, three pourers and a stand. Recipe card for six classics."
KD-009,"Crystal Whisky Glasses, Pair",kitchen & dining,Bar,Vesper & Co,89.00,17,4.7,132,him,anniversary|graduation,glassware|whisky|pair|crystal,Clear,Lead-free crystal,yes,4,"Heavy base, thin rim. Two, so they get used together."
KD-010,Wine Preserver,Kitchen & Dining,Bar,Vesper & Co,64.00,26,3.9,68,anyone,thank-you|housewarming,wine|preserver|vacuum|accessory,Black,"ABS, steel",yes,3,Pumps the air out and keeps an open bottle drinkable for about a week.
KD-011,"Olive Wood Board, Large",Kitchen & Dining,Serving,Fumo,84.00,15,4.6,109,anyone,housewarming|christmas,board|olivewood|serving|cheese,Natural,Olive wood,yes,4,Every board has a different grain. Big enough for a proper cheese course.
KD-012,Slate Cheese Board Set,Kitchen & Dining,Serving,Fumo,62.00,22,4.2,87,anyone,christmas|housewarming,board|slate|cheese|set,Black,"Slate, steel",yes,3,"Slate board, four markers and three knives. You write the cheese names on the slate."
KD-013,Enamel Casserole 24cm,Kitchen & Dining,Cookware,Ferro,189.00,9,4.8,312,anyone,anniversary|christmas,casserole|castiron|enamel|oven,Burgundy,Enamelled cast iron,yes,5,"Cast iron with an enamel coat, oven to table. Heavy, and that is the point."
KD-014,Carbon Steel Pan 26cm,Kitchen & Dining,Cookware,Ferro,76.00,19,4.5,167,him,birthday|housewarming,pan|carbonsteel|searing|seasoned,Black,Carbon steel,yes,4,"Pre-seasoned, gets better every time you use it. Not dishwasher safe and never will be."
KD-015,Pasta Making Kit,Kitchen & Dining,Cookware,Ferro,98.00,11,4.3,93,anyone,birthday|anniversary,pasta|kit|italian|manual,Steel,"Steel, beech",yes,4,"Hand-crank roller, two cutters and a drying rack. A weekend project, not a weeknight one."
KD-016,Bread Baking Set,Kitchen & Dining,Cookware,Ferro,72.00,14,4.4,121,anyone,christmas|housewarming,bread|baking|banneton|starter,Natural,"Rattan, linen, steel",yes,4,"Banneton, lame, scraper and a linen couche. Sourdough starter not included, deliberately."
KD-017,"Ceramic Dinner Set, Four",Kitchen & Dining,Tableware,Terra Nine,168.00,7,4.5,64,couple,anniversary|housewarming,dinnerware|set|ceramic|four,Speckled Grey,Stoneware,yes,6,Sixteen pieces for four people. Chip-resistant and it stacks properly.
KD-018,"Handmade Pasta Bowls, Pair",Kitchen & Dining,Tableware,Terra Nine,74.00,20,4.6,58,couple,anniversary|thank-you,bowl|pair|handmade|pasta,Cream,Stoneware,yes,4,"Wide and shallow, the right shape for pasta and for everything else people put in bowls."
KD-019,Copper Measuring Cups,Kitchen & Dining,Tableware,Ferro,58.00,0,4.0,42,her,thank-you|birthday,measuring|copper|baking|set,Copper,"Copper, steel",yes,3,"Four nested cups. Decorative enough to hang up, accurate enough to use."
KD-020,"Salt & Pepper Mills, Pair",Kitchen & Dining,Tableware,Ferro,92.00,23,4.7,176,anyone,housewarming|christmas,mill|pair|walnut|grinder,Walnut,"Walnut, ceramic",yes,4,"Ceramic grinding mechanism, adjustable from coarse to fine. Lifetime guarantee on the mechanism."
KD-021,Tea Infuser Pot,Kitchen & Dining,Tea,Fumo,68.00,25,4.3,102,her,thank-you|birthday,tea|pot|glass|infuser,Clear,Borosilicate glass,yes,3,"Glass so you can watch the leaves open. Removable steel basket, 800ml."
KD-022,Loose Leaf Tea Flight,Kitchen & Dining,Tea,Fumo,44.00,36,4.2,138,anyone,thank-you|christmas,tea|set|tasting|loose,Mixed,"Tin, tea",yes,2,"Six tins, six origins, tasting notes on each. Enough of each for about ten cups."
KD-023,Amber Glass Tumbler Set,Kitchen & Dining,Serving,Terra Nine,56.00,20,4.5,86,anyone,housewarming|anniversary,glassware|set|amber|six,Amber,Glass,yes,4,"Six tumblers in smoked amber. Dishwasher safe, which the fancier ones never are."
KD-024,Herb Garden Kit,Kitchen & Dining,Serving,Seedhouse,42.00,34,4.1,167,anyone,birthday|thank-you,kit|herbs|beginner|kitchen,Green,"Terracotta, seed",yes,3,"Basil, thyme and mint with soil discs and instructions that assume you know nothing."
TG-001,Wireless Headphones ANC,Tech & Gadgets,Audio,Sonder,279.00,18,4.7,842,anyone,birthday|christmas|graduation,headphones|anc|wireless|travel,Midnight,"Aluminium, protein leather",yes,2,"Thirty hours with noise cancelling on. The case is slim enough for a laptop bag, which most cases are not."
TG-002,Wireless Earbuds Pro,Tech & Gadgets,Audio,Sonder,189.00,32,4.5,1204,anyone,birthday|graduation,earbuds|anc|wireless|compact,White,"Plastic, silicone",yes,2,"Four ear tip sizes in the box. Good ANC for the size, and they survive a run in the rain."
TG-003,Open-Ear Sport Buds,Tech & Gadgets,Audio,Sonder,129.00,21,4.1,317,him,birthday,earbuds|sport|openear|running,Slate,"Silicone, titanium",yes,2,"They sit outside the ear canal so you still hear traffic. For running, not for flying."
TG-004,"Portable Speaker, Waterproof",Tech & Gadgets,Audio,Sonder,99.00,44,4.4,676,anyone,birthday|thank-you,speaker|bluetooth|waterproof|portable,Forest,"Recycled plastic, fabric",yes,2,"IP67, floats, twelve hours. Loud enough for a kitchen or a small garden."
TG-005,"Turntable, Belt Drive",Tech & Gadgets,Audio,Sonder,349.00,6,4.6,198,him,anniversary|christmas,turntable|vinyl|audio|analogue,Walnut,"MDF, aluminium",yes,5,Built-in preamp so it plugs into anything. Comes with a decent cartridge already fitted.
TG-006,E-Reader 7in Glare-Free,Tech & Gadgets,Reading,Papyr,199.00,27,4.8,923,anyone,birthday|christmas|graduation,ereader|reading|waterproof|backlit,Black,"Plastic, glass",yes,2,"Warm and cool front light, waterproof, weeks of battery. The screen genuinely reads like paper."
TG-007,"E-Reader Case, Fabric",Tech & Gadgets,Reading,Papyr,39.00,58,4.2,241,anyone,thank-you,case|ereader|accessory|fabric,Charcoal,Recycled fabric,yes,2,"Magnetic, wakes and sleeps the device. Fits the 7in only."
TG-008,Digital Photo Frame 10in,Tech & Gadgets,Home Tech,Lumen,169.00,15,4.3,384,anyone,christmas|anniversary,frame|photo|wifi|family,Oak,"Wood, glass",yes,3,"Relatives send photos to it from their phones. Set-up takes five minutes, which matters for the recipient."
TG-009,"Smart Plug, Pack of Four",Tech & Gadgets,Home Tech,Lumen,54.00,63,4.1,527,anyone,housewarming,smartplug|home|wifi|automation,White,Plastic,no,2,"Schedules and voice control. No hub needed, which is the whole reason to buy these."
TG-010,Sunrise Alarm Clock,Tech & Gadgets,Home Tech,Lumen,89.00,29,4.5,412,anyone,birthday|christmas,alarm|light|sleep|wakeup,White,"Plastic, fabric",yes,3,Brightens over thirty minutes before the alarm. Works properly in a room with blackout blinds.
TG-011,Air Quality Monitor,Tech & Gadgets,Home Tech,Lumen,139.00,12,4.0,96,anyone,housewarming,sensor|air|health|home,Grey,"Plastic, glass",yes,3,"CO2, particulates, humidity, temperature. Useful in a flat, revealing in an office."
TG-012,"Mechanical Keyboard, 65%",Tech & Gadgets,Desk,Kaskade,159.00,17,4.6,458,him,birthday|graduation,keyboard|mechanical|compact|hotswap,Grey,"Aluminium, PBT",yes,3,Hot-swap sockets so switches change without soldering. Ships with tactile browns.
TG-013,Switch Sampler Pack,Tech & Gadgets,Desk,Kaskade,24.00,71,4.3,127,him,thank-you,keyboard|switches|accessory|small,Mixed,Plastic,no,2,"Nine switches to try before committing to ninety. A good add-on, a thin gift on its own."
TG-014,"Vertical Mouse, Wireless",Tech & Gadgets,Desk,Kaskade,79.00,33,4.2,289,anyone,thank-you|birthday,mouse|ergonomic|wireless|desk,Black,Plastic,yes,2,Holds the wrist at fifty-seven degrees. Takes about a week to stop feeling strange.
TG-015,Monitor Light Bar,Tech and Gadgets,Desk,Lumen,96.00,24,4.5,331,anyone,birthday|graduation,light|desk|monitor|glarefree,Black,Aluminium,yes,3,"Clips to the top of a screen and lights the desk, not the screen. No reflections."
TG-016,"Laptop Stand, Folding",Tech & Gadgets,Desk,Kaskade,64.00,41,4.4,214,anyone,graduation|thank-you,stand|laptop|portable|aluminium,Silver,Aluminium,yes,2,Folds flat to the size of a paperback. Six height positions.
TG-017,Power Bank 20000mAh,Tech & Gadgets,Mobile,Sonder,69.00,55,4.3,738,anyone,thank-you|graduation,powerbank|usbc|travel|fastcharge,Black,Aluminium,yes,2,"100W out, so it charges a laptop, not just a phone. Airline-legal capacity."
TG-018,Magnetic Wallet Stand,Tech & Gadgets,Mobile,Sonder,45.00,48,3.8,164,him,thank-you,wallet|magsafe|card|compact,Tan,Leather,yes,2,"Three cards, folds into a stand. Weak magnets on cases thicker than 2mm."
TG-019,Instant Camera,Tech & Gadgets,Photo,Lumen,119.00,26,4.4,556,her,birthday|graduation,camera|instant|film|fun,Mint,Plastic,yes,3,"Prints in ninety seconds. Ten shots of film in the box, then it gets expensive."
TG-020,Film Twin Pack,Tech & Gadgets,Photo,Lumen,22.00,84,4.1,203,anyone,,film|accessory|instant|refill,White,Film,no,2,Twenty shots for the instant camera.
TG-021,"Drawing Tablet, Small",Tech & Gadgets,Creative,Kaskade,149.00,10,4.5,187,anyone,birthday|graduation,tablet|drawing|stylus|creative,Black,Plastic,yes,3,"Battery-free pen, 8192 pressure levels. Works with the free software everyone actually uses."
TG-022,"Handheld Game Console, Retro",Tech & Gadgets,Creative,Kaskade,189.00,0,4.6,394,him,christmas|birthday,console|retro|handheld|games,Grey,Plastic,yes,4,"Plays cartridges and emulates the rest. Excellent d-pad, which is the whole thing."
TG-023,Noise Machine,Tech & Gadgets,Home Tech,Lumen,58.00,37,4.2,268,anyone,thank-you|housewarming,sleep|sound|white-noise|small,Cream,"Fabric, plastic",yes,2,"Real fan-based noise rather than a looped recording. No app, no lights, no subscription."
TG-024,"Smart Ring, Sleep Tracking",Tech & Gadgets,Wearable,Sonder,329.00,8,3.9,142,anyone,birthday|anniversary,ring|sleep|health|wearable,Silver,Titanium,yes,4,"Sizing kit ships first, then the ring. Subscription required after the first year - worth saying out loud."
TG-025,"Bookshelf Speakers, Pair",Tech & Gadgets,Audio,Sonder,899.00,2,4.9,76,him,anniversary|christmas,speakers|hifi|passive|pair,Walnut,"Walnut veneer, aluminium",yes,7,"Passive, so they need an amplifier the recipient may not own. The best-sounding thing in the catalogue and the easiest to get wrong as a gift."
BW-001,Silk Pillowcase Pair,Beauty & Wellness,Sleep,Aurelia,119.00,23,4.7,486,her,birthday|anniversary|christmas,silk|sleep|hair|pair,Pearl,22 momme silk,yes,3,"Two cases, machine washable on cold. Gentler on hair than cotton, which is the actual reason people love them."
BW-002,Weighted Eye Mask,Beauty & Wellness,Sleep,Aurelia,42.00,46,4.5,312,her,thank-you|birthday,sleep|mask|weighted|relax,Charcoal,"Silk, glass beads",yes,2,Warms in the microwave or chills in the freezer. Heavy enough to feel like something.
BW-003,Skincare Discovery Set,Beauty & Wellness,Skincare,Aurelia,78.00,31,4.4,398,her,birthday|christmas,skincare|set|travel|discovery,Mixed,Glass,yes,3,Five travel sizes of the full range. The sensible way to gift skincare without guessing.
BW-004,Vitamin C Serum 30ml,Beauty & Wellness,Skincare,Aurelia,64.00,29,4.6,721,her,thank-you,serum|vitaminc|brightening|skincare,Amber,Glass,yes,2,15% L-ascorbic acid in an opaque pump. Six months once opened.
BW-005,Hand Cream Trio,Beauty & Wellness,Skincare,Aurelia,36.00,67,4.3,254,anyone,thank-you|christmas,handcream|set|small|scented,Mixed,Aluminium tube,yes,2,"Three scents, handbag size. The default thank-you gift for a reason."
BW-006,Beard Care Kit,Beauty & Wellness,Grooming,Bramble,68.00,19,4.2,176,him,birthday|christmas,beard|kit|grooming|oil,Amber,"Glass, wood",yes,3,"Oil, balm, comb and scissors in a tin. Cedar and bergamot, not the usual sweet stuff."
BW-007,Safety Razor Set,Beauty & Wellness,Grooming,Bramble,89.00,14,4.6,231,him,birthday|graduation,razor|shaving|steel|sustainable,Chrome,"Brass, steel",yes,3,"Razor, stand, brush and twenty blades. Cheaper than cartridges within four months."
BW-008,Shaving Soap & Bowl,Beauty & Wellness,Grooming,Bramble,44.00,26,4.4,118,him,thank-you,shaving|soap|bowl|traditional,Cream,"Ceramic, soap",yes,3,"Sandalwood, lasts about six months of daily use. Refills sold separately."
BW-009,"Eau de Parfum, Fig & Cedar",Beauty & Wellness,Fragrance,Aurelia,145.00,12,4.5,203,anyone,anniversary|birthday,perfume|unisex|woody|50ml,Clear,Glass,yes,3,"Fifty millilitres, unisex, dries down warm. Risky as a gift unless you know the person's taste."
BW-010,Fragrance Discovery Vials,Beauty & Wellness,Fragrance,Aurelia,48.00,52,4.1,167,anyone,thank-you|birthday,perfume|set|sample|discovery,Mixed,Glass,yes,2,Six 2ml vials with a voucher towards a full bottle. The answer to the risk above.
BW-011,"Massage Gun, Compact",Beauty & Wellness,Recovery,Bramble,159.00,16,4.3,442,him,birthday|christmas,massage|recovery|sport|percussive,Black,"Aluminium, silicone",yes,3,"Four heads, five speeds, quiet enough to use in front of the television."
BW-012,Acupressure Mat Set,Beauty & Wellness,Recovery,Bramble,72.00,0,4.0,289,anyone,birthday,mat|acupressure|back|relax,Indigo,"Cotton, foam",yes,4,Mat and pillow with a carry bag. The first three minutes are unpleasant and then they are not.
BW-013,"Foam Roller, Textured",Beauty & Wellness,Recovery,Bramble,46.00,38,4.2,196,him,thank-you,roller|recovery|sport|foam,Charcoal,EVA foam,no,3,"Firm density, textured surface. Not for beginners, who should get the smooth one."
BW-014,Bath Soak Collection,Beauty & Wellness,Bath,Aurelia,54.00,41,4.5,214,her,birthday|thank-you|christmas,bath|salts|set|relax,Mixed,Glass jar,yes,2,"Four jars: magnesium, rose, eucalyptus, seaweed. Wooden scoop in the box."
BW-015,Turkish Bath Towel Set,Beauty & Wellness,Bath,Casa Lenta,86.00,20,4.4,141,couple,housewarming|anniversary,towel|set|cotton|turkish,Sand,Turkish cotton,yes,4,"Two bath, two hand. Thin, fast-drying, and they get softer for about a year."
BW-016,Sauna Blanket,Beauty & Wellness,Recovery,Bramble,399.00,3,3.7,58,anyone,anniversary|christmas,sauna|infrared|recovery|luxury,Grey,"PU leather, ceramic",yes,7,"Infrared, folds into a cupboard. Big, expensive, and only right for someone who has mentioned wanting one."
BW-017,"Yoga Mat, Cork",Beauty & Wellness,Fitness,Bramble,98.00,24,4.6,187,her,birthday|thank-you,yoga|mat|cork|grip,Natural,"Cork, rubber",yes,4,"Grip improves as your hands get damp, which is the opposite of foam mats."
BW-018,Resistance Band Set,Beauty & Wellness,Fitness,Bramble,38.00,59,4.1,326,anyone,thank-you|graduation,fitness|bands|home|travel,Mixed,"Latex, fabric",no,2,"Five resistances, fabric not rubber, so they do not roll up on the thighs."
BS-001,"Fountain Pen, Medium Nib",Books & Stationery,Pens,Marginalia,129.00,15,4.7,264,anyone,graduation|anniversary,pen|fountain|writing|gift,Navy,"Resin, steel nib",yes,3,"Converter and two cartridges included. Writes wet, which suits most paper and not thin notebooks."
BS-002,Rollerball Pen,Books & Stationery,Pens,Marginalia,64.00,32,4.4,148,him,graduation|thank-you,pen|rollerball|writing|desk,Graphite,Brass,yes,3,"Heavier than it looks. Takes standard refills, so it will never be orphaned."
BS-003,"Ink Sampler, Six Bottles",Books & Stationery,Pens,Marginalia,42.00,27,4.5,96,anyone,thank-you,ink|set|fountain|colour,Multi,Glass,yes,3,"Six 10ml bottles, from a blue-black to an unreasonable orange."
BS-004,"Hardcover Notebook A5, Dotted",Books & Stationery,Paper,Marginalia,28.00,88,4.6,512,anyone,thank-you|graduation,notebook|dotted|a5|hardcover,Forest,"Cloth, 100gsm paper",yes,2,"Lies flat, 100gsm so fountain pen does not bleed. 192 pages."
BS-005,Notebook Trio A6,Books & Stationery,Paper,Marginalia,24.00,74,4.3,203,anyone,thank-you,notebook|set|pocket|small,Mixed,"Card, 90gsm paper",yes,2,Three pocket notebooks that survive a back pocket for a month.
BS-006,Leather Journal Cover A5,books & stationery,Paper,Marginalia,95.00,11,4.5,87,him,anniversary|graduation,journal|leather|cover|refillable,Tan,Full-grain leather,yes,4,"Refillable, so the same cover carries twenty notebooks. Can be blind-embossed with initials."
BS-007,Desk Diary 2027,Books & Stationery,Paper,Marginalia,46.00,0,4.2,64,anyone,christmas,diary|planner|dated|desk,Burgundy,"Cloth, paper",yes,3,"Week to view with a ribbon and a pocket. Dated, so it is a December gift or nothing."
BS-008,Undated Weekly Planner,Books & Stationery,Paper,Marginalia,38.00,43,4.4,129,her,birthday|thank-you,planner|undated|weekly|flexible,Blush,"Card, paper",yes,2,"Fifty-two undated weeks, so it survives being started in March."
BS-009,The Art of Slow Cooking,Books & Stationery,Books,Vellum,42.00,29,4.6,178,anyone,christmas|housewarming,book|cookbook|hardcover|recipes,Multi,Paper,yes,3,Ninety recipes that assume six hours and no supervision. Photography is unusually good.
BS-010,Atlas of Remote Islands,Books & Stationery,Books,Vellum,36.00,22,4.8,341,anyone,birthday|thank-you,book|atlas|illustrated|travel,Blue,Paper,yes,3,"Fifty islands the author has never visited, one map and one story each. Reliably delightful."
BS-011,"Boxed Classics, Set of Six",Books & Stationery,Books,Vellum,89.00,13,4.5,112,anyone,graduation|christmas,book|set|classics|boxed,Cream,"Cloth, paper",yes,4,"Cloth-bound, foil-stamped, in a slipcase. Bought for the shelf as much as the reading."
BS-012,"Poetry Anthology, Pocket",Books & Stationery,Books,Vellum,22.00,51,4.3,89,her,thank-you,book|poetry|pocket|small,Green,Paper,yes,2,Two hundred short poems in a book that fits a coat pocket.
BS-013,Calligraphy Starter Kit,Books & Stationery,Craft,Marginalia,58.00,18,4.1,74,her,birthday|graduation,calligraphy|kit|beginner|craft,Black,"Wood, steel, ink",yes,3,"Holder, five nibs, ink and a practice pad with guidelines. Instructions are clear."
BS-014,Bookbinding Kit,Books & Stationery,Craft,Marginalia,76.00,9,,,anyone,birthday,bookbinding|kit|craft|beginner,Natural,"Linen thread, board, paper",yes,4,"Makes three sewn notebooks. A slow, satisfying afternoon."
BS-015,"Letterpress Card, Single",Books & Stationery,Paper,Marginalia,6.50,240,3.6,31,anyone,,card|letterpress|small|addon,Cream,Cotton paper,no,2,A card.
BS-016,"Letterpress Card Box, Ten",Books & Stationery,Paper,Marginalia,42.00,36,4.2,58,anyone,thank-you|christmas,cards|set|letterpress|blank,Mixed,Cotton paper,yes,2,"Ten blank cards with envelopes, cotton paper, properly pressed so the type has a dent in it."
GP-001,"Strategy Board Game, Trade Routes",Games & Puzzles,Board Games,Meridian,64.00,26,4.7,588,anyone,christmas|birthday,boardgame|strategy|2-4players|60min,Multi,"Card, wood",yes,3,"Sixty to ninety minutes, two to four players. Teaches in ten minutes and stays interesting for fifty games."
GP-002,"Cooperative Game, Deep Water",Games & Puzzles,Board Games,Meridian,52.00,31,4.5,342,anyone,christmas|thank-you,boardgame|cooperative|1-4players|45min,Blue,"Card, plastic",yes,3,Everyone against the board. Good for households where competition ends badly.
GP-003,Two-Player Card Game,Games & Puzzles,Board Games,Meridian,26.00,58,4.6,417,couple,anniversary|thank-you,cardgame|2players|travel|20min,Red,Card,yes,2,"Twenty minutes, fits in a jacket. The one to pack for a holiday."
